     tablename      |               indexname               |                                                 indexdef                                                 
--------------------+---------------------------------------+----------------------------------------------------------------------------------------------------------
 df_channels_en     | df_channels_en_category_cc_index      | CREATE INDEX df_channels_en_category_cc_index ON public.df_channels_en USING btree (category_cc)
 df_channels_en     | df_channels_en_channel_index          | CREATE INDEX df_channels_en_channel_index ON public.df_channels_en USING btree (channel)
 df_channels_en     | df_channels_en_pk                     | CREATE UNIQUE INDEX df_channels_en_pk ON public.df_channels_en USING btree (index)
 df_timeseries_en   | df_timeseries_en_category_index       | CREATE INDEX df_timeseries_en_category_index ON public.df_timeseries_en USING btree (category)
 df_timeseries_en   | df_timeseries_en_channel_index        | CREATE INDEX df_timeseries_en_channel_index ON public.df_timeseries_en USING btree (channel)
 df_timeseries_en   | df_timeseries_en_pk                   | CREATE UNIQUE INDEX df_timeseries_en_pk ON public.df_timeseries_en USING btree (index)
 rel_video_tag_meta | rel_tag_video_meta_pk                 | CREATE UNIQUE INDEX rel_tag_video_meta_pk ON public.rel_video_tag_meta USING btree (index)
 rel_video_tag_meta | rel_video_tag_meta_tag_index_index    | CREATE INDEX rel_video_tag_meta_tag_index_index ON public.rel_video_tag_meta USING btree (tag_index)
 rel_video_tag_meta | rel_video_tag_meta_video_index_index  | CREATE INDEX rel_video_tag_meta_video_index_index ON public.rel_video_tag_meta USING btree (video_index)
 video_metadata     | video_metadata_categories_index       | CREATE INDEX video_metadata_categories_index ON public.video_metadata USING btree (categories)
 video_metadata     | video_metadata_channel_id_index       | CREATE INDEX video_metadata_channel_id_index ON public.video_metadata USING hash (channel_id)
 video_metadata     | video_metadata_display_id_index       | CREATE INDEX video_metadata_display_id_index ON public.video_metadata USING hash (display_id)
 video_metadata     | video_metadata_pk                     | CREATE UNIQUE INDEX video_metadata_pk ON public.video_metadata USING btree (index)
 video_tags         | video_tags_pk                         | CREATE UNIQUE INDEX video_tags_pk ON public.video_tags USING btree (index)
 youtube_comments   | youtube_comments_pk                   | CREATE UNIQUE INDEX youtube_comments_pk ON public.youtube_comments USING btree (index)
 youtube_comments   | youtube_comments_video_id_index_btree | CREATE INDEX youtube_comments_video_id_index_btree ON public.youtube_comments USING btree (video_id)
